"","IncrementalCost_pe","IncrementalCost_low","IncrementalCost_up","IncrementalQALY_pe","IncrementalQALY_low","IncrementalQALY_up","ICER_pe","ICER_low","ICER_up","%cost-effective","%cost-saving"
"Atlanta",9777039.56851196,7427713.92247009,13471251.1062111,83.6332188397646,64.2602028327063,126.290392434411,116903.78182435,86049.8657144588,141362.36406235,0.191,0.9905
"Baltimore",97291156.7672577,50110891.2241787,144465706.59499,1005.72990419343,533.344668926205,1574.33215614269,96736.8638056782,84753.5717127796,101269.327312078,0.952,0.369
"Los Angeles",889021.502807617,-2557621.07727966,2213133.47871094,13.0734171867371,2.82282661385834,43.6605395037681,68002.2284999462,-61767.0919763666,670118.709613543,0.5795,0.019
"Miami",228026619.812164,71634802.9531765,330688217.487916,2405.29578583315,802.184088824876,3803.43715775302,94801.9038470065,70600.6071253894,108480.643940848,0.866,0.8775
"New York City",608029454.315063,212205820.852856,923588273.319186,6620.60768593848,2316.59516532458,10449.5235902499,91838.91919868,77920.4625504881,105045.380598982,0.9235,0
"Seattle",19933593.9992218,7427116.32068253,32937227.2362041,208.913344878703,68.0220738676377,352.303431477677,95415.6088534957,69710.3951921824,130719.261033416,0.4905,0.002
